Date,Number of Crimes,Rain,Average Temp (NOAA),Average Temp (Wunderland),Average Temp (Combined)
2020-09-03,279,NO,60.0,61.2,60.6
2019-09-04,385,NO,63.0,63.3,63.15
2020-09-04,345,NO,62.0,63.0,62.5
2019-09-05,404,NO,62.0,64.2,63.1
2020-09-05,328,NO,73.5,72.4,72.95
2019-09-06,490,NO,60.5,64.0,62.25
2020-09-06,270,NO,85.5,81.3,83.4
2019-09-07,384,NO,62.5,64.4,63.45
2020-09-07,264,NO,76.5,77.4,76.95
2019-09-08,371,NO,62.0,64.0,63.0
2020-09-08,296,NO,64.0,65.0,64.5
2019-09-09,415,NO,63.0,64.3,63.65
2020-09-09,265,NO,58.5,61.3,59.9
2019-09-10,400,NO,61.0,63.9,62.45
2020-09-10,319,NO,60.5,62.3,61.4
2019-09-11,419,NO,66.5,66.6,66.55
2020-09-11,291,NO,62.5,61.6,62.05
2019-09-12,384,NO,75.0,72.5,73.75
2020-09-12,285,NO,63.0,60.5,61.75
2019-09-13,423,NO,79.5,74.5,77.0
2020-09-13,289,NO,58.5,59.0,58.75
2019-09-14,451,NO,64.5,65.6,65.05
2020-09-14,308,NO,60.5,62.0,61.25
2019-09-15,391,NO,62.0,65.7,63.85
2020-09-15,316,NO,63.5,65.0,64.25
2019-09-16,404,YES,63.5,65.6,64.55
2020-09-16,335,NO,68.0,66.0,67.0
2019-09-17,410,NO,63.5,65.5,64.5
2020-09-17,328,NO,63.0,64.7,63.85
2019-09-18,471,YES,65.0,66.5,65.75
2020-09-18,297,NO,64.0,66.7,65.35
2019-09-19,427,NO,64.0,65.0,64.5
2020-09-19,292,NO,66.5,65.6,66.05
2019-09-20,452,NO,69.0,69.0,69.0
2020-09-20,285,NO,68.5,66.6,67.55
2019-09-21,406,NO,72.0,70.6,71.3
2020-09-21,323,NO,64.0,63.8,63.9
2019-09-22,385,NO,62.5,64.1,63.3
2020-09-22,258,NO,62.0,64.3,63.15
2019-09-23,384,NO,66.5,66.1,66.3
2020-09-23,299,NO,64.0,66.3,65.15
2019-09-24,420,NO,75.5,75.0,75.25
2020-09-24,286,NO,65.0,65.9,65.45
2019-09-25,446,NO,79.0,78.5,78.75
2020-09-25,318,NO,63.5,64.2,63.85
2019-09-26,455,NO,68.5,70.9,69.7
2020-09-26,305,NO,66.5,66.5,66.5
2019-09-27,459,YES,60.0,62.7,61.35
